Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-06-18 00:24:45.293558,4188.70967742,0,4205.80645161,0,4210.32258065,0,4166.4516129,0,4161.93548387,0,4171.93548387,0,4181.61290323,0,4162.25806452,0,4162.58064516,0,4198.70967742,0,4199.67741935,0,4179.35483871,0,4172.58064516,0,4222.25806452,0,0,0,?
2017-06-18 00:24:45.298459,4159.03225806,0,4174.83870968,0,4172.25806452,0,4210.64516129,0,4206.12903226,0,4164.19354839,0,4159.03225806,0,4168.70967742,0,4192.90322581,0,4173.87096774,0,4171.29032258,0,4163.87096774,0,4159.35483871,0,4196.4516129,0,0,0,?
2017-06-18 00:24:45.309477,4157.74193548,0,4182.25806452,0,4169.03225806,0,4164.83870968,0,4209.67741935,0,4210.64516129,0,4162.58064516,0,4185.80645161,0,4177.41935484,0,4180.32258065,0,4178.06451613,0,4163.87096774,0,4158.70967742,0,4210.0,0,0,0,?
2017-06-18 00:24:45.314475,4190.64516129,0,4163.22580645,0,4199.67741935,0,4197.41935484,0,4211.29032258,0,4164.83870968,0,4192.58064516,0,4174.51612903,0,4216.4516129,0,4206.12903226,0,4210.64516129,0,4187.74193548,0,4172.25806452,0,4239.67741935,0,0,0,?
2017-06-18 00:24:45.325468,4202.90322581,0,4163.22580645,0,4208.38709677,0,4190.0,0,4204.19354839,0,4198.38709677,0,4180.32258065,0,4202.58064516,0,4197.41935484,0,4193.5483871,0,4191.93548387,0,4195.16129032,0,4174.51612903,0,4238.70967742,0,0,0,?
2017-06-18 00:24:45.330568,4180.96774194,0,4198.38709677,0,4200.64516129,0,4162.25806452,0,4199.35483871,0,4177.41935484,0,4157.41935484,0,4176.12903226,0,4177.09677419,0,4181.29032258,0,4162.58064516,0,4173.22580645,0,4155.80645161,0,4220.64516129,0,0,0,?
2017-06-18 00:24:45.341518,4183.87096774,0,4207.09677419,0,4207.74193548,0,4177.41935484,0,4206.12903226,0,4190.64516129,0,4179.67741935,0,4194.51612903,0,4185.16129032,0,4195.80645161,0,4188.70967742,0,4164.51612903,0,4165.48387097,0,4226.12903226,0,0,0,?
2017-06-18 00:24:45.345456,4196.12903226,0,4165.48387097,0,4168.70967742,0,4173.87096774,0,4163.5483871,0,4167.41935484,0,4202.58064516,0,4167.09677419,0,4194.83870968,0,4203.5483871,0,4207.09677419,0,4187.41935484,0,4179.03225806,0,4237.74193548,0,0,0,?
2017-06-18 00:24:45.356449,4178.38709677,0,4207.09677419,0,4209.67741935,0,4206.77419355,0,4209.03225806,0,4205.48387097,0,4189.67741935,0,4210.0,0,4185.16129032,0,4202.58064516,0,4181.29032258,0,4197.74193548,0,4172.90322581,0,4230.0,0,0,0,?
2017-06-18 00:24:45.361443,4159.03225806,0,4200.32258065,0,4186.12903226,0,4170.64516129,0,4197.74193548,0,4174.83870968,0,4170.64516129,0,4185.80645161,0,4207.41935484,0,4192.25806452,0,4159.35483871,0,4179.67741935,0,4157.74193548,0,4209.35483871,0,0,0,?
2017-06-18 00:24:45.372453,4163.87096774,0,4196.77419355,0,4178.38709677,0,4178.38709677,0,4203.5483871,0,4182.90322581,0,4164.19354839,0,4168.06451613,0,4189.35483871,0,4163.87096774,0,4159.03225806,0,4160.32258065,0,4145.48387097,0,4191.29032258,0,0,0,?
